,Title,Author,Story Summary,chapter Amount
599,No more quiet life,13MON, Ina goes on a trip down memory lane and remembers how she got to this point.Thank you for reading! uwu    ,1
600,signals,mayraki," Gura almost never gets dreams but when she does, it turned into her worst nightmare    ",1
601,Her Sunshine,KeroUwU, Gura reminisces about the times she felt the sun for the first time    ,1
602,Funny Feelings,PhoebeGalaxy," Gura’s feelings for her sunshine are too much to handle, maybe, it’s time to say it once and for all.    ",1
603,Ring Fit Adventure!,PhantomKeeperQazs, Amelia found herself stuck on a strange staircase that never seemed to end. No one is around and she hears some questionable noises. Time for her to investigate!    ,1
604,The Words I Can't Say,SumDumMuffin," When Irys can't speak for the day, Bae steps in to be her voice.    ",1
605,Timely Death,RaidGachaSalt," The world slowly crumbles under the feet of the Reaper and Time Traveler, as they continue to fight for its survival.With each hit, the clock tickles down, a swing to the right, a parry to the left, a shot was fired and a sacrifice was required for the hope to see another day.    ",1
606,Mr Brightside,The_Architect_Of_Light," After a night that Amelia can't remember, her friends come to help her. Thing is... Who the hell is the guy who screwed Ame? And...Will Gura murder him?    ",6
607,Rainy Days,Tripsout2 (Azureshadowmoon), They have each other.    ,2
608,"At the end of the world, there is a shark",IronShiba (wegglebots)," The girl cleared her throat. Her voice was clear, steady. There was a playfulness to the way she read out of her notebook. There was warmth. Familiarity. You didn’t quite understand but you listened, curious.She read. “At the end of the world, there is a shark.”    ",1
609,Blankets,rinre," Two girls and the feeling of falling in love. Under blankets, everything goes.    ",1
610,signals,mayraki," Gura almost never gets dreams but when she does, it turned into her worst nightmare    ",1
611,Her Sunshine,KeroUwU, Gura reminisces about the times she felt the sun for the first time    ,1
612,Kiss Me,AphelionLies," ""Oh, kiss me, beneath the milky twilightLead me out on the moonlit floor""-Kiss Me by Sixpence None The Richer    ",1
613,A Short Horror About Reine's Shorts,VelvetNimbus, Reine buys a pair of shorts from Kusaland and starts to have nightmares.    ,1
614,Irys tries to fluster Bae,SumDumMuffin, Some say the best part about a tsundere signifigant other is seeing them try to bottle up their feelings and fail    ,1
615,HoloAfterLive: Friends in the Sky,wrsw," “When we are dreaming alone it is only a dream. When we are dreaming with others, it is the beginning of reality.”Tokino Sora and friends start turning their dream into reality within the heavenly realm.    ",20
616,Helping Hands,bulkbronze," No matter where Gura might be, help always seems to find her.    ",1
617,Sky / Desmoronar - The Flame and The Fall,pilotchiken," The world is near end, but one emotion still burns in Amelia's heart. O mundo está perto do fim, mas uma emoção ainda queima no coração de Amelia. ENGLISH and Portuguese versions    ",1
618,The Delinquent and The Princess,Mrn0odlez," Takanashi Kiara was suddenly surprised when her parents wanted to go overseas due to work related trip. It was her last year at her high school and has already completed her 1st semester, she was opposed that she would have to start all over making new friends which is hard for a shy orange bright haired induvial. While on the other hand there was Mori Calliope she was raised as a good child so where did it go wrong, why did she suddenly become so violent and a delinquent    ",21
619,here with me,inochiijo, Your face from that day still haunts me to this day.    ,1
620,A Reaper's Work,AsmodeusWorks," Calliope's work as a reaper may not be pleasant, but it is a necessary task.    ",1
621,And Some Chocolates for You,Meowlordfur, A series of short one shots (anywhere from 1k to 4k words) telling the story of pairs that have very few - if any - works on this site. Done for the PolyEN Rare Pair Week going from Feb 14th to the 20th!Rated M due to a single story - also worth noting that only one of these stories actually takes place on Valentine's Day!Day 1 - Courage/Fear (Fauna/Gura)Day 2 - Stars/Emptiness (Kronii/Sana)Day 3 - Sunrise/Twilight (Gura/Omegaα)Day 4 - Mountain/Cave (Kronii/Amelia) - Rated MDay 5 - Dream/Darkness (Ina/Mumei)Day 6 - Bloom/Wither (Calli/Fauna/Kiara)Day 7 - Peace/Unrest (Baelz/Amelia)Enjoy!    ,7
622,Irys tries to fluster Bae,SumDumMuffin, Some say the best part about a tsundere signifigant other is seeing them try to bottle up their feelings and fail    ,1
623,Where All Good Things Start,simpnati0n, A knight that is in need of equipment and food stumbles somewhere maybe she shouldn't be...    ,1
624,Baby Walter Goes On A Little Adventure,Trainrider," Lately lot's of super powered children of Myth have been appearing all through out the Mythverse. It's strange that they all appeared in such a sort time from each other, but that's not what we will be exploring today. Today, we will be going through an anecdote from the life of the Walter Watson of Timeline: 1892. Although, I doubt he remembers this story himself. He was only 3 after all.    ",1
625,A world without chaos,Derpydan," Basically a ""what if?"" scenario where Mumei remembers everything that Bae has done    ",20
626,this heart is burning up!,velvet_plush, Rumor has it that a true love’s kiss breaks curses. Amelia Watson requires four.    ,1
627,Bloom and Wither,yokazex (wolfegang)," Kiara made flowers grow in Calli's lungs, and although they were beautiful; She couldn't breathe.Hanahaki AU.    ",6
628,"infinity, it may be",DonLucky," ""I'll fake and cheat death as many times as you need me to.""    ",1
629,Reine and Anya celebrate Holoro 1st Anniversary,Pearl_The_Pearl, 1st Anniversary of Holoro!Reine want to celebrate Holoro already 1st Anniversary of But Ollie was gonna go after they finished the 12hrs holoro stream and the house only had anya and reine.    ,1
630,Marshall Maximizer X Love Me Love Me,Pearl_The_Pearl," Marshall Maximizer X Love Me Love Me,plz check their song is amazing!the though of this fanfic is by Retayu that MM X LMLM fanart.    ",1
631,spring in the best way possible,DonLucky," There in the middle of green and yellow, a hue of purple – gorgeous and picturesque.    ",1
632,In Loving Memory,Tripsout2 (Azureshadowmoon), Ina is alone for the day.    ,1
633,Hubris,Rook_385," Kronii has challenged Amelia to a marathon to see who was more fit! Short answer, it wasn't Kronii and her hubris for challenging Amelia was shoved in her face.    ",1
634,spring in the best way possible,DonLucky," There in the middle of green and yellow, a hue of purple – gorgeous and picturesque.    ",1
635,In Loving Memory,Tripsout2 (Azureshadowmoon), Ina is alone for the day.    ,1
636,I Found You,ReapingReaper, Gura's experience from the thousands of years she lived.    ,1
637,When She Loved Me,PhoebeGalaxy," Just a regular day in the life of Gawr Gura, or at least, the life she has since Amelia left her.    ",1
638,Rap and Dap,Alien Smithee (ComicaWritesThings)," Calliope is working on the lyrics for another one of her raps, but she isn't exactly satisfied with the results. Can the detective solve her problem for her?    ",1
639,"all bark, no bite",chronekko," With the power of an ancient god, anything is paw-sible.    ",1
640,Child of the Blade,Valmariel," A girl was born when the stars aligned, yet men's desire to corrupt the purest of souls is truly immeasurable.    ",1
641,Hubris,Rook_385," Kronii has challenged Amelia to a marathon to see who was more fit! Short answer, it wasn't Kronii and her hubris for challenging Amelia was shoved in her face.    ",1
642,Cover Corp Papers,ThalioTP," ""Wherever light can hope to reach, the dark will always be there waiting."" Outside the government, but beyond the law. Cover Corporation is an internationally based organization with the aim to act as first responder to the supernatural. Our principle is to put humanity first and foremost, but beyond that is the goal to learn and coexist with the supernatural. Until there will be a time where normalcy of change will not be met with difficulty, our work is yet to be finished.    ",11
643,personal gallery,chronekko, Ninomae Ina'nis overestimated herself. Amelia Watson just wants someone to cuddle with.    ,1
644,Hearth & Tempest,chronekko," The calm, the storm, and sunshine.    ",2
645,here with me,inochiijo, Your face from that day still haunts me to this day.    ,1
646,Cover Corp Papers,ThalioTP," ""Wherever light can hope to reach, the dark will always be there waiting."" Outside the government, but beyond the law. Cover Corporation is an internationally based organization with the aim to act as first responder to the supernatural. Our principle is to put humanity first and foremost, but beyond that is the goal to learn and coexist with the supernatural. Until there will be a time where normalcy of change will not be met with difficulty, our work is yet to be finished.    ",11
647,When She Loved Me,PhoebeGalaxy," Just a regular day in the life of Gawr Gura, or at least, the life she has since Amelia left her.    ",1
648,personal gallery,chronekko, Ninomae Ina'nis overestimated herself. Amelia Watson just wants someone to cuddle with.    ,1
649,Hearth & Tempest,chronekko," The calm, the storm, and sunshine.    ",2
650,through these glass patterns,reo_oo1, we are searching for reasons to fall in love.    ,130
651,The kid games,Agent_Souppy_soup," Amelia is on a mission to investigate an organization that makes people play deadly games to earn money. Get inside the organization, she soon knows more about this organization and no one knows will she be able to get out of there or not.    ",1
652,After Our Lives,Phemon13," Amelia and Gura find out what's waiting for them, and thankfully it's something they know...    ",1
653,Kinder egg surprise,Pika_the_Chuu, Calli's feeling under the weather leading to a visit to the underworld hospital    ,6
654,Ephemeral Flowers,Somarisu," If you asked me what I thought about longevity and immortality,Without a doubt I will call it a curse.You wouldn’t understand simply with just that,But I can tell you about me.    ",1
655,Blazing Death,StoryCorner," Calli has been summoned to Hell. To prevent new Demon Lord and his forces from leaving the Realms of Hell. And Kiara has joined her, to keep the Demon Forces at bay and making sure that both of them can leave this battle alive...A very LATE TakaMori Anniversary Fic!    ",1
656,Hic et nunc,Niyusa," You are here, I know that.I am here and I am aware of it.    ",1
657,Back To Each Other's Arms,Nesz," “I missed this.”“Missed what?”“This. Us. Just messing around, bantering, trying to one up each other.”    ",1
658,"""Goodluck Detective""",Magetro21," Stuck in a time loop, Amelia goes back to where Gura had debuted, redoes everything and goes back to the same thing that made her time travel. But each time she goes back, her memory is erased. And so, She's forever stuck in a time loop that only Gawr knows off.    ",1
659,Holohigh,SumDumMuffin, Takamori Vignettes around an AU where Hololive is a performing arts high school.    ,8
660,After Our Lives,Phemon13," Amelia and Gura find out what's waiting for them, and thankfully it's something they know...    ",1
661,Kinder egg surprise,Pika_the_Chuu, Calli's feeling under the weather leading to a visit to the underworld hospital    ,6
662,Ephemeral Flowers,Somarisu," If you asked me what I thought about longevity and immortality,Without a doubt I will call it a curse.You wouldn’t understand simply with just that,But I can tell you about me.    ",1
663,Wished you in this reality,Magetro21," Test 0601-2006 (Selachimorpha)Name: Gawr GuraStatus: AliveOut of many failed attempts, 0601-2006 was the only successful experiment from the ""Atlantic"" experimentation, designed specifically for aquatic human hybrids. Permission to perform Test 1113-2020 approved.    ",1
664,The Abyss,PhoebeGalaxy," For as long as she can remember, no matter what happened in her life or in her mind, and during every night; Amelia fell to the abyss.    ",1
665,They called her Daylight,ResidentOwlPal (Crunchy_rice)," They called her Daylight .Well, it was a nickname. Kronii thought it was clever because she was the light of their lives and it sounded like ‘de- light’. Mumei just liked how easy that name was to remember. As for her real name… it was blank, for it was erased from history itself.Lost and abandoned by her parents. She looks at the world with resentment. Eager to rewrite it in her image. Waiting for the time to strike.But now she has returned. And declared war on the council. The fabric of reality itself is falling apart. The world as they know it is ending. All of Holo En have to combine forces to defeat this new threat. And the council has to confront their dark past. Relationships will be tested. Lives will be on the line. Nothing will be the same as Kronii and Mumei have to confront their long lost daughter. Only one question remains…“What does it feel like to lose everything?”    ",3
666,Shiny Smily Story,WritingNeverending,"  We make our choice with different voice. Oh yes, we know. Get set and GO!  ----------------------------------------------------------- Tokino Sora, after spending her first few months in hololive as the agency’s sole talent, will finally be joined by new recruits to her group, and she is determined to welcome her juniors with a bright smile and open arms, whoever they might be.  (…and the monkey’s paw closes a finger.)    ",3
667,Homecoming,evil4corn," It is not the first time which Mumei is going to heat as an Omega, but it is definitely the first time she is going into heat with the presence of alpha. What will happen to alpha and omega when both of their pheromones attract each other? Will they find a home within each other? Maybe they can find out in the heat...    ",1
668,UMISEA with a Koro,Kousaka_Erena," Out at UMISEA, following the script until a wild dog appears.    ",1
669,Fake It till You Make It,Ennui_Tyro," Drama flares up once again in the lands of the famous, and while it is petty, it's also just enough for management to get involved. Kiara and Calli are swept into a relationship to stop the rumors before they get even worse, each with their own reasons for agreeing to the arrangement.Everyone expected them to get together anyway, might as well play into that.(Famous Fake-dating AU)    ",6
670,Where All Good Things Start,simpnati0n, A knight that is in need of equipment and food stumbles somewhere maybe she shouldn't be...    ,1
671,Kiss Me,AphelionLies," ""Oh, kiss me, beneath the milky twilightLead me out on the moonlit floor""-Kiss Me by Sixpence None The Richer    ",1
672,Coco's Final Flight,StoryCorner," Kiryuu Coco's Graduation had happened. She is now looking at the literal horizon, preparing for her final flight into the unknown. But even closer at the end, there are those who just can't have enough goobyes.    ",1
673,The House in the Sunflower Field,Kendrak98," They found a plot of land for sale, which included a small field of sunflowers and they decided to build their home there, away from the chaos of the city. A place where they could enjoy the fresh sea air and happy time together.Over time, however, they both began to feel that something was missing. A longing for something more, which could complete their happiness.    ",1
674,Hearth & Tempest,chronekko," The calm, the storm, and sunshine.    ",2
675,Homecoming,evil4corn," It is not the first time which Mumei is going to heat as an Omega, but it is definitely the first time she is going into heat with the presence of alpha. What will happen to alpha and omega when both of their pheromones attract each other? Will they find a home within each other? Maybe they can find out in the heat...    ",1
676,UMISEA with a Koro,Kousaka_Erena," Out at UMISEA, following the script until a wild dog appears.    ",1
677,Amesame Origin: The Time Travel Detective and the Shark from Atlantis,Yozora786," The time travel detective was assigned a mission to investigate the recent time distortion and the massive carnage at Brixton. Little did she knows, she will meet a legendary apex predator that will change her life but the shark girl seems to be involving in the case.What's the truth for the case?Amesame side stories of 'Only Love will Never Change'.    ",16
678,The kid games,Agent_Souppy_soup," Amelia is on a mission to investigate an organization that makes people play deadly games to earn money. Get inside the organization, she soon knows more about this organization and no one knows will she be able to get out of there or not.    ",1
679,Ina Ill,CaptainCaper," Ina'nis Watson has a bad case of the flu, leaving her friends and family to care for her.    ",1
680,Weak Men and Weaker Sharks,momentoMEMOIRE," They both like a bit of trouble, that's all--and trouble can come in many forms. Red eyes, proud smirks...and unexpected visits, late at night.Or: The quirks of dating a shark and a time traveler.-The Wish: Feral Gura/Ame, done roughly as such would imply.Requested by @faerieko.    ",1
681,001,N00b_edY, Is it proper to regard 'isekai' as 'world transfer'?- ShishiLamy Side    ,2
682,A Way Out Partners,Kousaka_Erena, Gura and Korone finally end their adventure of pain and perseverance.    ,1
683,Jacket,g4wrr," As time slowly passes,the jacket she gave me falls apart.    ",1
684,Wished you in this reality,Magetro21," Test 0601-2006 (Selachimorpha)Name: Gawr GuraStatus: AliveOut of many failed attempts, 0601-2006 was the only successful experiment from the ""Atlantic"" experimentation, designed specifically for aquatic human hybrids. Permission to perform Test 1113-2020 approved.    ",1
685,Lost Communication,Kousaka_Erena," In another alternate universe, Gura and Korone both have something in common - social anxiety.    ",1
686,Transatlanticism,Cosmata," The ex-Atlantean sighed in resignation, taking one of their hands each. Now she squeezed, facing the ocean once more, the tide ebbing away before them.“Yeah. It’s about Atlantis.” Her words came slowly, the silence in between broken up by the waves tumbling onto the shore. “I think… I think I’m scared.”    ",3
687,something kinda crazy happens to me.,culpabilities, Priestess of the Ancient Ones Ninomae Ina'nis and sweaty time traveling detective Amelia Watson shares a bed that's infuriatingly small.    ,1
688,Tender Nights,Tripsout2 (Azureshadowmoon), Love and care in three separate ways.    ,1
689,Spoiled,Tripsout2 (Azureshadowmoon), Amelia gets sick.    ,1
690,The Rains Bring Strange Things (i think they brought me to you),2broke2simp," They found each other on the side of the road. She’s all shark, leaning up against a wall, the rain pouring down around her. Amelia didn’t know why she stopped, why she turned.“Hey,”And so it began    ",1
691,BaeRyS shorts,Thebestpersonhere, Just a bunch of shorts I’ll be writing whenever I feel like it. Don’t expect much    ,1
692,Lost Communication,Kousaka_Erena," In another alternate universe, Gura and Korone both have something in common - social anxiety.    ",1
693,Monster Huner,StoryCorner, Mori Clara has been always been aware of an monster that lurked in the shadows. Waiting for a moment bounce in and hurt her parents! But she is ready!    ,1
694,Homecoming,evil4corn," It is not the first time which Mumei is going to heat as an Omega, but it is definitely the first time she is going into heat with the presence of alpha. What will happen to alpha and omega when both of their pheromones attract each other? Will they find a home within each other? Maybe they can find out in the heat...    ",1
695,UMISEA with a Koro,Kousaka_Erena," Out at UMISEA, following the script until a wild dog appears.    ",1
696,Takeouts and Makeouts,Tripsout2 (Azureshadowmoon), Two tired girls mildly inconvenience each other and fall in love.    ,1
697,That Warm Piece of Happiness,Tripsout2 (Azureshadowmoon), Amelia spends a very chilly day with her girls.    ,1
698,Tender Nights,Tripsout2 (Azureshadowmoon), Love and care in three separate ways.    ,1
699,Spoiled,Tripsout2 (Azureshadowmoon), Amelia gets sick.    ,1
700,Running Girl,Kagemoto," Amelia was always running all her life.And now, there was nowhere to run.    ",1
701,The sun will never rise again,Peko_Chungus69, In which Amelia gets the hanahaki disease from crushing on Gura and it gets worse from there.    ,1
702,Sulking in the Snow,Crooked_Crow," Being human sucked.The Warden didn’t get cold. Neither did her council friends. Neither did her mythological friends.No, Amelia was alone in freezing her butt off.    ",1
703,She Is Irresistible,Unpaid_Intern_Kasia," Amelia couldn't deny it, atleast inwardly she couldn't do it. She was attracted to that smirking girl that annoyed her to no end, why was it that whenever she smiled, all Amelia felt was her heart skipping multiple beats. Whenever that irritating girl teased her, she couldn't help but give way to be bullied. It wasn't easy, that girl was too attractive.She was confident, actually no, she was cocky. Reine knew what she wanted, and she didn't have to worry about anyone else claiming her prey, this particular morsel was prickly and prone to blowing up after all. She didn't have to rush, time was by their side.[ Alpha/Beta/Omega dynamics without the wolf tendencies but retaining the usual psychological needs. Absolutely not furry, because that ain't it. ]    ",2
704,Fading,Phemon13," Gura's used to waiting, but this might've been the thing she's been waiting for most.    ",1
705,Hanabi,Pika_the_Chuu, Calli is depressed after a really bad day.  Kiara cheers her up.    ,1
706,At Work,gozita2003," Despite her displeasure of having their date ruined, Ina has to admit...there's something about watching Ame order others around.    ",1
707,A Shark's On the Loose,Kousaka_Erena," One morning, the unexpected happens.    ",1
708,Remember,StoryCorner," She awoke in a cave. Not remembering anything. She is alone, in the dark and lost.    ",1
709,Puppets,CaptainCaper," Everyone Amelia Watson knows is a puppet, connected by the same set of strings...    ",1
710,Queenpins,Elias_Pedro," Amelia Watson, a senior but loose cannon, problem child detective of City PD, has to prevent a war. After a shootout breaks out at a jazz club in the heart of town over a ‘transaction’ gone wrong, the Shrimps of Ocean Street and the Deadbeats of Industrial Way prepare to fight. As tensions threaten to boil over, Ame, her new rookie partner Kiara Takanashi and their forensics expert Ina’nis Ninomae must infiltrate the two gangs and to prevent the gang war that could bring the City to its knees. By any means necessary.  Even if it means romancing the Queenpins of the City.  Will Ame and her team be able to stop the war with love? Or will they get swept up in the flow of the underbelly of crime? Only time will tell.  Inspired by Q - the song of Calli and Gura![Official Poster/Book Cover by @Mofumashu]    ",16
711,Takeouts and Makeouts,Tripsout2 (Azureshadowmoon), Two tired girls mildly inconvenience each other and fall in love.    ,1
712,Series Rewind,Kousaka_Erena," The experience throughout Gura and Korone's lifestyle (one that I made up, of course).    ",1
713,Confidence Building,CaptainCaper," Mori Calliope and Takanashi Kiara go on a date, Ninomae Ina'nis and Amelia Watson tag along.    ",1
714,BaeRyS shorts,Thebestpersonhere, Just a bunch of shorts I’ll be writing whenever I feel like it. Don’t expect much    ,1
715,At Work,gozita2003," Despite her displeasure of having their date ruined, Ina has to admit...there's something about watching Ame order others around.    ",1
716,Thoughts..,Mumeis_glove1, ,1
717,Until I Get Home,Tripsout2 (Azureshadowmoon), They are broken jewels of the sea. At least they have each other.    ,5
718,Schoolgirl Rushia,apollospvtnik, Rushia dispatches a bully    ,1
719,That Warm Piece of Happiness,Tripsout2 (Azureshadowmoon), Amelia spends a very chilly day with her girls.    ,1
720,my way home is through you,chronekko, Amelia Watson gets home later than usual. Breaks a few promises here and there.fic loosely based on https://open.spotify.com/track/4QQu1IfpYL2VRmqC7mbDfU?si=a71a56fee91844d9    ,1
721,The Rains Bring Strange Things (i think they brought me to you),2broke2simp," They found each other on the side of the road. She’s all shark, leaning up against a wall, the rain pouring down around her. Amelia didn’t know why she stopped, why she turned.“Hey,”And so it began    ",1
722,I'll Come Home For You,AlfaWurst," Amelia H. Watson had lots of responsibilities, being a time-traveling detective and all that, one of which was being the girlfriend of an Atlantean who went by the name of Gawr Gura.    ",1
723,Managers,lightningstormtc," Mitsuki Akane, a creative writing major fresh out of college and a huge Fubuki fan was offered a job by her old classmate and friend, A-Chan. She was to be a manager for one of the new members in her idol Fubuki's new branch of Hololive known as Hololive GAMERS. Akane waked into the HoloHQ with bright eyes and big dreams. Little did she know, the member that she would be managing would be the finger stealing, endurance freak of a puppy: Inugami Korone.    ",1
724,Sulking in the Snow,Crooked_Crow," Being human sucked.The Warden didn’t get cold. Neither did her council friends. Neither did her mythological friends.No, Amelia was alone in freezing her butt off.    ",1
725,She Is Irresistible,Unpaid_Intern_Kasia," Amelia couldn't deny it, atleast inwardly she couldn't do it. She was attracted to that smirking girl that annoyed her to no end, why was it that whenever she smiled, all Amelia felt was her heart skipping multiple beats. Whenever that irritating girl teased her, she couldn't help but give way to be bullied. It wasn't easy, that girl was too attractive.She was confident, actually no, she was cocky. Reine knew what she wanted, and she didn't have to worry about anyone else claiming her prey, this particular morsel was prickly and prone to blowing up after all. She didn't have to rush, time was by their side.[ Alpha/Beta/Omega dynamics without the wolf tendencies but retaining the usual psychological needs. Absolutely not furry, because that ain't it. ]    ",2
726,Fading,Phemon13," Gura's used to waiting, but this might've been the thing she's been waiting for most.    ",1
727,Time and Time again,Tatsugamiii," It was fun, memories of laughter, and good time associate with their names,faces and voices. But when an outcome she didn’t think would happen, Amelia hasto go back, back to where everything was alright,before everything started to break, she must be there to fix it.And even if it may take a couple tries, Amelia’s ready to do it all over again. Time and Time again.    ",1
728,I'll Come Home For You,AlfaWurst," Amelia H. Watson had lots of responsibilities, being a time-traveling detective and all that, one of which was being the girlfriend of an Atlantean who went by the name of Gawr Gura.    ",1
729,Managers,lightningstormtc," Mitsuki Akane, a creative writing major fresh out of college and a huge Fubuki fan was offered a job by her old classmate and friend, A-Chan. She was to be a manager for one of the new members in her idol Fubuki's new branch of Hololive known as Hololive GAMERS. Akane waked into the HoloHQ with bright eyes and big dreams. Little did she know, the member that she would be managing would be the finger stealing, endurance freak of a puppy: Inugami Korone.    ",1
730,Jacket,g4wrr," As time slowly passes,the jacket she gave me falls apart.    ",1
731,You'll Always be our Kaichou!!!,LeslieEmpty," After a long journey, Kiryu Coco decides to leave Hololive. This is her farewell!    ",1
732,Puppets,CaptainCaper," Everyone Amelia Watson knows is a puppet, connected by the same set of strings...    ",1
733,seconds,chronekko, Every second matters. We're defined by the paths we take.    ,1
734,Meeting the Watson Family,KagamiWatsuki," Every couple need to introduce their partner to their parents, that what Amelia is trying to do when she knows her family come to visit her and it's a good opportunity to introduce Gura to her family.    ",1
735,Series Rewind,Kousaka_Erena," The experience throughout Gura and Korone's lifestyle (one that I made up, of course).    ",1
736,Confidence Building,CaptainCaper," Mori Calliope and Takanashi Kiara go on a date, Ninomae Ina'nis and Amelia Watson tag along.    ",1
737,Puppy Love,CaptainCaper, Mori Calliope confides in a new love about an old problem.    ,1
738,Arcanum TakoShio ~ Rogue Waves of an Eldritch Sky,SweetNectarDew," After an unexpectedly drunken night of celebration, Ina awakens to see that her ancient book of knowledge, the Necronomicon, vessel of AO-chan, had gone missing. Meanwhile Shion also discovers that her demonic amulet, bearing the eye of a deceased deity from hell, had also disappeared. They open the doors to find a sky that has come to mingle with the sea.    ",1
739,straight to hell.,culpabilities, The pink eyes of a feral Amelia Watson is something even the priestess of a dark entity is afraid of.    ,1
740,Midnight Snack,KagamiWatsuki, ,1
741,Sensitive,Tripsout2 (Azureshadowmoon), There's a lot of things Amelia pictured herself doing in her line of work. Gardening was not on the list.    ,1
742,She wasn't mine to begin with,Magetro21," Gura awaits for the arrival of her friend, but as she waited, she was approached by her senpai, and from there she learns the other meaning of Ame.    ",1
743,Hate and Insanity,DammerDoctor," ""This is about Ina's safety. Of course, we can destroy anyone and anything, but not in this case. We may simply not have time. So we ask you to take on the responsibility of protecting Ninomae Ina'nis """"Protection... from whom? What can threaten us?»""Like I said, another ancient god. More precisely, a Hateful, or a God-who-hates. He has found a vessel for himself, and he knows where Ina is. He wants to destroy her and, as a result, destroy my connection to this world. """"That is, we are in danger because of you ... Again... I have a sense of deja vu, ""    ",5
744,KFP Megathread,lightningstormtc," Ryan Shade was normal person who was hired to work at a new KFP location where the CEO Takanashi Kiara herself will be working at. It is a rather small location, but for some reason, none of the customers are normal humans. Read along and find out how he interacts with different people from the Hololive Production and how this changes him as a person.This is where you can find all the completed parts gather so it will be easier for you to read. Thank you all so much for supporting me this long and I hope you enjoy KFP.    ",3
745,I'm your Santa Claus,Yozora786," Irys hates Santa and Bae knows it very well. But to let her Nephilim enjoys the fullness of Christmas, HoloCouncil suggested an idea to the innocent Bae.    ",1
746,This is my Timeline,PhoebeGalaxy," Being a time traveler means a lot of things, being able to escape everything and being as eternal as time itself, but it also means not having a place to call home. That was the case of Amelia H. Watson, until a certain shark made her want to stay.    ",1
747,You can relax now,NoCake," Amelia has a bad evening, so mumei decides to comfort her.When life gives you lemons, cuddle with your girlfriends.    ",1
748,unwanted destiny,frozenmango," A light cough catches her attention. Amelia whips her head up towards the statue, and sees that the statue isn’t standing—it’s sitting on its pedestal, one leg crossed over the other. And judging from the pair of deep blue eyes staring at her, it’s alive too. Amelia takes a couple steps back, her eyes wide with surprise. Her chest heaves with anxious breaths as she realizes three things. One: This person is responsible for what’s happening. Two: This person is strong—far stronger than any being Amelia has ever seen or met. Three: Amelia knows her name.    ",1
749,That's fully up to you,Halcyonemertean," Amelia kinda awkwardly flirts with Calli to fill awkward silence, Calli does the unexpected and responds full force    ",1
750,At Work,gozita2003," Despite her displeasure of having their date ruined, Ina has to admit...there's something about watching Ame order others around.    ",1
751,No Time for Sorrow,orphan_account," It's 4AM in the frosty suburbs north of the city. A short journey past the cookie-cutter houses are power lines and barren fields. A body has been found. Detective Amelia Watson is called to the scene. Troubled by her past, nobody believes the young detective when she discovers a serial killer is on the loose. Now her career hangs in the balance, and soon enough, her life too.    ",1
752,Blinding Lights,Tripsout2 (Azureshadowmoon), This is how she spends those autumn days.    ,1
753,Higher Love,Tripsout2 (Azureshadowmoon)," “Don’t think of anything else,” Amelia whispers. “It’s just us.”    ",1
754,Comfort shark,Oboron," Ever since she acquired her watch, Amelia Watson never let her guise as a detective fall. There was no exception to that rule.And ever since she met Gura, there has been at least one exception to that rule.    ",1
755,Gem of the Sea,Tripsout2 (Azureshadowmoon), Amelia wakes up in Atlantis. Somehow that's the least of her problems.    ,1
756,Where She Waits,Tripsout2 (Azureshadowmoon)," It's their anniversary. Ame-versary, if you will.    ",1
757,"A Box of Chocolates isn't too Cliche, right?",Meowlordfur, Amelia gets all of her girlfriends a box of chocolates for Valentine's Day. Things quickly get heated.Set roughly two years after 'Among the Myths'.    ,1
758,"Together, Off The Deep End",ZoneTheory," Bae is in over her head, taking on too much responsibility, and now she doesn't have time to make the money to pay her rent.IRyS is looking for a roommate, because honestly, she's kinda lonely, and by chance she finds a barista who just might fit the bill.    ",7
759,Amesame Origin: The Time Travel Detective and the Shark from Atlantis,Yozora786," The time travel detective was assigned a mission to investigate the recent time distortion and the massive carnage at Brixton. Little did she knows, she will meet a legendary apex predator that will change her life but the shark girl seems to be involving in the case.What's the truth for the case?Amesame side stories of 'Only Love will Never Change'.    ",16
760,A Cottage in the Woods,orphan_account," Detective Amelia Watson takes a reckless gamble against a dangerous criminal. In what could possibly be her final hours, Amelia must make peace with herself for all the hurt that she's caused.Loosely based on Amelia Watson's AI Dungeon playthrough.    ",1
761,Bloody moon.,thisisjoke, idk    ,1
762,"Yeah Ok I Have Hanahaki, but Can You Please Take Me to the Beach?",Meowlordfur," Amelia coughs up a petal one day when she's finishing up some paperwork. Before she can even comprehend what is going on, Gura walks in. Can they discover why Amelia is coughing up petals, and can they fix this before it's too late? Probably.    ",1
763,A Poem for Sunshine,Magetro21, Just a poem(?)    ,2
764,Mouse Trap,citricseas," A little vermin has made itself at home in Amelia Watson's office, and productivity is at an all time low.    ",1
765,No future,Niyusa, What does it take to make someone lose their sanity?    ,1
766,The Horrible Truth,Briltop, In an attempt to time travel Amelia ends up in a place she hasn't been for years with someone familiar yet estranged and is invited to learn about the true workings of her pocket watch.    ,1
767,Sunshine and Atlantis,lewdwriter13," Ina, Amelia, and Gura go to a very special stadium for a very peculiar kind of morning exercise.    ",2
768,When feelings are mutual,Lemondrop_on_a_Sunflower, When the feelings of a certain shark girl finally gets reciprocated by a dense ol detective.    ,1
769,Clipped,Cosmata," Every ritual has a cost, every pact a price. How far will Ina go for the one she loves?    ",2
